id	parentID	kingdom	phylum	class	order	family	scientificName	rank	status
2995		Plantae	Tracheophyta	Spermatopsida	Rosales	Rosaceae	Prunus avium	species	accepted
2996		Plantae	Tracheophyta	Spermatopsida	Rosales	Rosaceae	Prunus cerasifera	species	accepted
2997		Plantae	Tracheophyta	Spermatopsida	Rosales	Rosaceae	Prunus cerasus	species	accepted
2998		Plantae	Tracheophyta	Spermatopsida	Rosales	Rosaceae	Prunus domestica	species	accepted
2999		Plantae	Tracheophyta	Spermatopsida	Rosales	Rosaceae	Prunus domestica cv. pershore	cultivar	accepted
3000		Plantae	Tracheophyta	Spermatopsida	Rosales	Rosaceae	Prunus domestica subsp. insititia var. intermedia	pending	accepted
3001		Plantae	Tracheophyta	Spermatopsida	Rosales	Rosaceae	Prunus domestica subsp. insititia var. italica	pending	accepted
3005		Plantae	Tracheophyta	Spermatopsida	Rosales	Rosaceae	Prunus mahaleb	species	accepted
3006		Plantae	Tracheophyta	Spermatopsida	Rosales	Rosaceae	Prunus padus	species	accepted
3008		Plantae	Tracheophyta	Spermatopsida	Rosales	Rosaceae	Prunus serotina	species	accepted
3035		Plantae	Tracheophyta	Spermatopsida	Myrtales	Lythraceae	Punica granatum	species	accepted
3044		Plantae	Tracheophyta	Spermatopsida	Rosales	Rosaceae	Pyrus communis	species	accepted
3045		Plantae	Tracheophyta	Spermatopsida	Rosales	Rosaceae	Pyrus pyraster	species	accepted
3110		Plantae	Tracheophyta	Spermatopsida	Saxifragales	Grossulariaceae	Ribes	genus	accepted
3112		Plantae	Tracheophyta	Spermatopsida	Saxifragales	Grossulariaceae	Ribes nigrum	species	accepted
3114		Plantae	Tracheophyta	Spermatopsida	Saxifragales	Grossulariaceae	Ribes rubrum	species	accepted
3117		Plantae	Tracheophyta	Spermatopsida	Saxifragales	Grossulariaceae	Ribes uva-crispa	species	accepted
3147		Plantae	Tracheophyta	Spermatopsida	Rosales	Rosaceae	Rubus	genus	accepted
3148		Plantae	Tracheophyta	Spermatopsida	Rosales	Rosaceae	Rubus caesius	species	accepted
3149		Plantae	Tracheophyta	Spermatopsida	Rosales	Rosaceae	Rubus idaeus	species	accepted
3150		Plantae	Tracheophyta	Spermatopsida	Rosales	Rosaceae	Rubus odoratus	species	accepted
3151		Plantae	Tracheophyta	Spermatopsida	Rosales	Rosaceae	Rubus phoenicolasius	species	accepted
3152		Plantae	Tracheophyta	Spermatopsida	Rosales	Rosaceae	Rubus saxatilis	species	accepted
3153		Plantae	Tracheophyta	Spermatopsida	Rosales	Rosaceae	Rubus spectabilis	species	accepted
3154		Plantae	Tracheophyta	Spermatopsida	Rosales	Rosaceae	Rubus subg. Rubus	subgenus	accepted
3226		Plantae	Tracheophyta	Spermatopsida	Dipsacales	Caprifoliaceae	Sambucus nigra	species	accepted
3227		Plantae	Tracheophyta	Spermatopsida	Dipsacales	Caprifoliaceae	Sambucus nigra cv. Laciniata	cultivar	accepted
3387		Plantae	Tracheophyta	Spermatopsida	Rosales	Rosaceae	Sorbus aria	species	accepted
3388		Plantae	Tracheophyta	Spermatopsida	Rosales	Rosaceae	Sorbus aucuparia	species	accepted
3389		Plantae	Tracheophyta	Spermatopsida	Rosales	Rosaceae	Sorbus domestica	species	accepted
3610		Plantae	Tracheophyta	Spermatopsida	Ericales	Ericaceae	Vaccinium	genus	accepted
3612		Plantae	Tracheophyta	Spermatopsida	Ericales	Ericaceae	Vaccinium corymbosum	species	accepted
